                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                    15.95,	                     0.74,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1236.70,	                    20.00,	                   961.40,	                    41.10,	                  2014.09,	                     0.00,	                     1.48,	                     0.29,	                     0.00,	                     1.77,	                     3.79,	                    10.47,	                    14.27,	                   240.60,	                    13.85
                    16.84,	                     0.89,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1232.89,	                    20.00,	                   957.59,	                    41.10,	                  2014.09,	                     0.00,	                     1.48,	                     0.29,	                     0.00,	                     1.77,	                     3.79,	                    10.44,	                    14.23,	                   253.26,	                    13.82
                    17.37,	                     0.53,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1226.93,	                    20.00,	                   951.63,	                    41.10,	                  2014.09,	                     0.00,	                     1.47,	                     0.29,	                     0.00,	                     1.76,	                     3.79,	                    10.38,	                    14.18,	                   260.83,	                    13.77
                    18.01,	                     0.64,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1224.47,	                    20.00,	                   949.17,	                    41.10,	                  2014.09,	                     0.00,	                     1.46,	                     0.29,	                     0.00,	                     1.76,	                     3.79,	                    10.36,	                    14.15,	                   269.91,	                    13.75
                    18.78,	                     0.77,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1218.08,	                    20.00,	                   942.78,	                    41.10,	                  2014.09,	                     0.00,	                     1.45,	                     0.29,	                     0.00,	                     1.75,	                     3.79,	                    10.30,	                    14.10,	                   280.75,	                    13.69
                    19.70,	                     0.92,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1214.93,	                    20.00,	                   939.62,	                    41.10,	                  2014.09,	                     0.00,	                     1.45,	                     0.29,	                     0.00,	                     1.74,	                     3.79,	                    10.27,	                    14.07,	                   293.73,	                    13.66
                    20.81,	                     1.11,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1206.50,	                    20.00,	                   931.20,	                    41.10,	                  2014.09,	                     0.00,	                     1.44,	                     0.29,	                     0.00,	                     1.73,	                     3.79,	                    10.20,	                    13.99,	                   309.22,	                    13.59
                    22.14,	                     1.33,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1202.60,	                    20.00,	                   927.29,	                    41.10,	                  2014.09,	                     0.00,	                     1.43,	                     0.29,	                     0.00,	                     1.72,	                     3.79,	                    10.16,	                    13.95,	                   327.77,	                    13.55
                    22.94,	                     0.80,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1195.50,	                    20.00,	                   920.20,	                    41.10,	                  2014.09,	                     0.00,	                     1.42,	                     0.29,	                     0.00,	                     1.71,	                     3.79,	                    10.10,	                    13.89,	                   338.85,	                    13.49
                    23.89,	                     0.96,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1193.04,	                    20.00,	                   917.74,	                    41.10,	                  2014.09,	                     0.00,	                     1.41,	                     0.29,	                     0.00,	                     1.71,	                     3.79,	                    10.07,	                    13.87,	                   352.11,	                    13.47
                    25.04,	                     1.15,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1185.75,	                    20.00,	                   910.45,	                    41.10,	                  2014.09,	                     0.00,	                     1.40,	                     0.29,	                     0.00,	                     1.70,	                     3.79,	                    10.01,	                    13.80,	                   367.96,	                    13.40
                    26.42,	                     1.38,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1182.66,	                    20.00,	                   907.36,	                    41.10,	                  2014.09,	                     0.00,	                     1.40,	                     0.29,	                     0.00,	                     1.69,	                     3.79,	                     9.98,	                    13.77,	                   386.94,	                    13.38
                    27.25,	                     0.83,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1176.39,	                    20.00,	                   901.09,	                    41.10,	                  2014.09,	                     0.00,	                     1.39,	                     0.29,	                     0.00,	                     1.68,	                     3.79,	                     9.92,	                    13.72,	                   398.28,	                    13.32
                    28.24,	                     0.99,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1174.42,	                    20.00,	                   899.12,	                    41.10,	                  2014.09,	                     0.00,	                     1.39,	                     0.29,	                     0.00,	                     1.68,	                     3.79,	                     9.90,	                    13.70,	                   411.87,	                    13.30
                    29.43,	                     1.19,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1167.99,	                    20.00,	                   892.69,	                    41.10,	                  2014.09,	                     0.00,	                     1.38,	                     0.29,	                     0.00,	                     1.67,	                     3.79,	                     9.84,	                    13.64,	                   428.10,	                    13.25
                    30.86,	                     1.43,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1165.48,	                    20.00,	                   890.18,	                    41.10,	                  2014.09,	                     0.00,	                     1.37,	                     0.29,	                     0.00,	                     1.66,	                     3.79,	                     9.82,	                    13.62,	                   447.56,	                    13.22
