                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                    13.20,	                     0.52,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1284.89,	                    20.00,	                  1009.59,	                    41.10,	                  2014.09,	                     0.00,	                     1.56,	                     0.29,	                     0.00,	                     1.85,	                     3.79,	                    10.91,	                    14.71,	                   209.68,	                    14.28
                    13.82,	                     0.62,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1280.25,	                    20.00,	                  1004.95,	                    41.10,	                  2014.09,	                     0.00,	                     1.55,	                     0.29,	                     0.00,	                     1.84,	                     3.79,	                    10.87,	                    14.66,	                   218.75,	                    14.24
                    14.56,	                     0.74,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1270.96,	                    20.00,	                   995.66,	                    41.10,	                  2014.09,	                     0.00,	                     1.53,	                     0.29,	                     0.00,	                     1.83,	                     3.79,	                    10.78,	                    14.58,	                   229.56,	                    14.16
                    15.45,	                     0.89,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1265.23,	                    20.00,	                   989.93,	                    41.10,	                  2014.09,	                     0.00,	                     1.53,	                     0.29,	                     0.00,	                     1.82,	                     3.79,	                    10.73,	                    14.53,	                   242.49,	                    14.11
                    15.98,	                     0.53,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1257.80,	                    20.00,	                   982.50,	                    41.10,	                  2014.09,	                     0.00,	                     1.51,	                     0.29,	                     0.00,	                     1.81,	                     3.79,	                    10.66,	                    14.46,	                   250.21,	                    14.04
                    16.62,	                     0.64,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1254.19,	                    20.00,	                   978.89,	                    41.10,	                  2014.09,	                     0.00,	                     1.51,	                     0.29,	                     0.00,	                     1.80,	                     3.79,	                    10.63,	                    14.43,	                   259.46,	                    14.01
                    17.39,	                     0.77,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1246.15,	                    20.00,	                   970.84,	                    41.10,	                  2014.09,	                     0.00,	                     1.50,	                     0.29,	                     0.00,	                     1.79,	                     3.79,	                    10.56,	                    14.35,	                   270.50,	                    13.94
                    18.32,	                     0.92,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1241.62,	                    20.00,	                   966.32,	                    41.10,	                  2014.09,	                     0.00,	                     1.49,	                     0.29,	                     0.00,	                     1.78,	                     3.79,	                    10.52,	                    14.31,	                   283.70,	                    13.90
                    18.87,	                     0.55,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1235.01,	                    20.00,	                   959.71,	                    41.10,	                  2014.09,	                     0.00,	                     1.48,	                     0.29,	                     0.00,	                     1.77,	                     3.79,	                    10.46,	                    14.25,	                   291.60,	                    13.84
                    19.54,	                     0.66,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1232.12,	                    20.00,	                   956.82,	                    41.10,	                  2014.09,	                     0.00,	                     1.48,	                     0.29,	                     0.00,	                     1.77,	                     3.79,	                    10.43,	                    14.22,	                   301.05,	                    13.81
