                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                   343.12,	                     3.03,	                   687.79,	                   316.90,	                  1375.59,	                  1000.00,	                   277.59,	                   754.55,	                    20.00,	                   479.25,	                    27.51,	                  1348.08,	                     0.00,	                     0.74,	                     0.29,	                     0.00,	                     1.02,	                     2.54,	                     6.04,	                     8.58,	                  7637.86,	                    12.45
                   344.94,	                     1.82,	                   685.76,	                   323.59,	                  1371.52,	                  1000.00,	                   277.75,	                   752.93,	                    20.00,	                   477.63,	                    27.43,	                  1344.09,	                     0.00,	                     0.74,	                     0.29,	                     0.00,	                     1.02,	                     2.53,	                     6.03,	                     8.56,	                  7653.43,	                    12.46
                   347.13,	                     2.18,	                   678.71,	                   329.02,	                  1357.42,	                  1000.00,	                   277.69,	                   749.39,	                    20.00,	                   474.09,	                    27.15,	                  1330.27,	                     0.00,	                     0.73,	                     0.29,	                     0.00,	                     1.02,	                     2.51,	                     6.00,	                     8.50,	                  7672.00,	                    12.50
                   349.75,	                     2.62,	                   670.73,	                   335.15,	                  1341.47,	                  1000.00,	                   277.63,	                   745.31,	                    20.00,	                   470.01,	                    26.83,	                  1314.64,	                     0.00,	                     0.72,	                     0.29,	                     0.00,	                     1.01,	                     2.48,	                     5.96,	                     8.43,	                  7694.09,	                    12.55
                   352.89,	                     3.14,	                   661.74,	                   342.05,	                  1323.47,	                  1000.00,	                   277.56,	                   740.61,	                    20.00,	                   465.30,	                    26.47,	                  1297.00,	                     0.00,	                     0.72,	                     0.29,	                     0.00,	                     1.00,	                     2.44,	                     5.91,	                     8.35,	                  7720.35,	                    12.60
                   354.78,	                     1.89,	                   659.89,	                   348.60,	                  1319.78,	                  1000.00,	                   277.72,	                   739.07,	                    20.00,	                   463.77,	                    26.40,	                  1293.39,	                     0.00,	                     0.71,	                     0.29,	                     0.00,	                     1.00,	                     2.44,	                     5.91,	                     8.34,	                  7736.08,	                    12.62
                   357.04,	                     2.26,	                   653.22,	                   353.65,	                  1306.43,	                  1000.00,	                   277.67,	                   735.67,	                    20.00,	                   460.37,	                    26.13,	                  1280.31,	                     0.00,	                     0.71,	                     0.29,	                     0.00,	                     0.99,	                     2.41,	                     5.87,	                     8.28,	                  7754.83,	                    12.66
                   359.75,	                     2.72,	                   645.67,	                   359.36,	                  1291.34,	                  1000.00,	                   277.60,	                   731.75,	                    20.00,	                   456.45,	                    25.83,	                  1265.52,	                     0.00,	                     0.70,	                     0.29,	                     0.00,	                     0.99,	                     2.38,	                     5.83,	                     8.22,	                  7777.14,	                    12.70
                   363.01,	                     3.26,	                   637.17,	                   365.77,	                  1274.33,	                  1000.00,	                   277.53,	                   727.23,	                    20.00,	                   451.93,	                    25.49,	                  1248.85,	                     0.00,	                     0.70,	                     0.28,	                     0.00,	                     0.98,	                     2.35,	                     5.79,	                     8.14,	                  7803.67,	                    12.75
                   364.97,	                     1.96,	                   635.50,	                   372.17,	                  1271.01,	                  1000.00,	                   277.69,	                   725.78,	                    20.00,	                   450.48,	                    25.42,	                  1245.59,	                     0.00,	                     0.69,	                     0.29,	                     0.00,	                     0.98,	                     2.35,	                     5.78,	                     8.13,	                  7819.57,	                    12.77
                   367.31,	                     2.35,	                   629.18,	                   376.89,	                  1258.36,	                  1000.00,	                   277.64,	                   722.52,	                    20.00,	                   447.22,	                    25.17,	                  1233.20,	                     0.00,	                     0.69,	                     0.29,	                     0.00,	                     0.97,	                     2.32,	                     5.75,	                     8.07,	                  7838.51,	                    12.81
                   370.13,	                     2.82,	                   622.04,	                   382.20,	                  1244.08,	                  1000.00,	                   277.58,	                   718.75,	                    20.00,	                   443.45,	                    24.88,	                  1219.20,	                     0.00,	                     0.68,	                     0.29,	                     0.00,	                     0.97,	                     2.30,	                     5.71,	                     8.01,	                  7861.06,	                    12.85
                   373.51,	                     3.38,	                   613.99,	                   388.15,	                  1227.99,	                  1000.00,	                   277.51,	                   714.42,	                    20.00,	                   439.11,	                    24.56,	                  1203.43,	                     0.00,	                     0.68,	                     0.28,	                     0.00,	                     0.96,	                     2.27,	                     5.67,	                     7.94,	                  7887.88,	                    12.90
                   377.56,	                     4.05,	                   604.94,	                   394.79,	                  1209.89,	                  1000.00,	                   277.43,	                   709.44,	                    20.00,	                   434.14,	                    24.20,	                  1185.69,	                     0.00,	                     0.67,	                     0.28,	                     0.00,	                     0.95,	                     2.23,	                     5.62,	                     7.85,	                  7919.73,	                    12.96
                   380.00,	                     2.43,	                   603.11,	                   401.93,	                  1206.22,	                  1000.00,	                   277.61,	                   707.80,	                    20.00,	                   432.50,	                    24.12,	                  1182.09,	                     0.00,	                     0.67,	                     0.29,	                     0.00,	                     0.95,	                     2.23,	                     5.61,	                     7.84,	                  7938.81,	                    12.98
                   382.92,	                     2.92,	                   596.33,	                   406.89,	                  1192.67,	                  1000.00,	                   277.54,	                   704.20,	                    20.00,	                   428.89,	                    23.85,	                  1168.81,	                     0.00,	                     0.66,	                     0.28,	                     0.00,	                     0.95,	                     2.20,	                     5.58,	                     7.78,	                  7961.52,	                    13.02
                   386.42,	                     3.50,	                   588.72,	                   412.42,	                  1177.44,	                  1000.00,	                   277.48,	                   700.06,	                    20.00,	                   424.76,	                    23.55,	                  1153.89,	                     0.00,	                     0.65,	                     0.28,	                     0.00,	                     0.94,	                     2.17,	                     5.54,	                     7.71,	                  7988.54,	                    13.07
                   390.62,	                     4.20,	                   580.18,	                   418.57,	                  1160.36,	                  1000.00,	                   277.40,	                   695.31,	                    20.00,	                   420.01,	                    23.21,	                  1137.15,	                     0.00,	                     0.65,	                     0.28,	                     0.00,	                     0.93,	                     2.14,	                     5.49,	                     7.63,	                  8020.62,	                    13.13
                   393.15,	                     2.52,	                   578.54,	                   425.60,	                  1157.08,	                  1000.00,	                   277.57,	                   693.78,	                    20.00,	                   418.48,	                    23.14,	                  1133.94,	                     0.00,	                     0.64,	                     0.29,	                     0.00,	                     0.93,	                     2.14,	                     5.49,	                     7.62,	                  8039.85,	                    13.15
                   396.17,	                     3.03,	                   572.13,	                   430.18,	                  1144.27,	                  1000.00,	                   277.51,	                   690.35,	                    20.00,	                   415.04,	                    22.89,	                  1121.38,	                     0.00,	                     0.64,	                     0.28,	                     0.00,	                     0.92,	                     2.11,	                     5.45,	                     7.56,	                  8062.74,	                    13.19
                   399.80,	                     3.63,	                   564.95,	                   435.29,	                  1129.90,	                  1000.00,	                   277.44,	                   686.40,	                    20.00,	                   411.10,	                    22.60,	                  1107.31,	                     0.00,	                     0.63,	                     0.28,	                     0.00,	                     0.92,	                     2.09,	                     5.41,	                     7.50,	                  8089.98,	                    13.25
                   404.16,	                     4.36,	                   556.91,	                   440.96,	                  1113.82,	                  1000.00,	                   277.37,	                   681.88,	                    20.00,	                   406.58,	                    22.28,	                  1091.54,	                     0.00,	                     0.63,	                     0.28,	                     0.00,	                     0.91,	                     2.06,	                     5.37,	                     7.42,	                  8122.33,	                    13.30
                   406.78,	                     2.62,	                   555.45,	                   447.86,	                  1110.89,	                  1000.00,	                   277.55,	                   680.45,	                    20.00,	                   405.15,	                    22.22,	                  1088.68,	                     0.00,	                     0.62,	                     0.28,	                     0.00,	                     0.91,	                     2.05,	                     5.36,	                     7.41,	                  8141.72,	                    13.32
                   409.92,	                     3.14,	                   549.39,	                   452.09,	                  1098.79,	                  1000.00,	                   277.49,	                   677.17,	                    20.00,	                   401.87,	                    21.98,	                  1076.81,	                     0.00,	                     0.62,	                     0.28,	                     0.00,	                     0.90,	                     2.03,	                     5.33,	                     7.36,	                  8164.82,	                    13.37
                   413.68,	                     3.77,	                   542.62,	                   456.81,	                  1085.25,	                  1000.00,	                   277.42,	                   673.41,	                    20.00,	                   398.11,	                    21.70,	                  1063.54,	                     0.00,	                     0.61,	                     0.28,	                     0.00,	                     0.90,	                     2.00,	                     5.29,	                     7.30,	                  8192.29,	                    13.42
                   418.20,	                     4.52,	                   535.04,	                   462.03,	                  1070.08,	                  1000.00,	                   277.34,	                   669.09,	                    20.00,	                   393.79,	                    21.40,	                  1048.67,	                     0.00,	                     0.61,	                     0.28,	                     0.00,	                     0.89,	                     1.98,	                     5.25,	                     7.23,	                  8224.94,	                    13.48
                   420.91,	                     2.71,	                   533.73,	                   468.80,	                  1067.46,	                  1000.00,	                   277.52,	                   667.76,	                    20.00,	                   392.46,	                    21.35,	                  1046.11,	                     0.00,	                     0.60,	                     0.28,	                     0.00,	                     0.89,	                     1.97,	                     5.25,	                     7.22,	                  8244.51,	                    13.50
                   424.17,	                     3.25,	                   528.02,	                   472.70,	                  1056.03,	                  1000.00,	                   277.46,	                   664.63,	                    20.00,	                   389.33,	                    21.12,	                  1034.91,	                     0.00,	                     0.60,	                     0.28,	                     0.00,	                     0.88,	                     1.95,	                     5.22,	                     7.16,	                  8267.82,	                    13.54
                   428.07,	                     3.90,	                   521.61,	                   477.04,	                  1043.23,	                  1000.00,	                   277.39,	                   661.03,	                    20.00,	                   385.73,	                    20.86,	                  1022.36,	                     0.00,	                     0.59,	                     0.28,	                     0.00,	                     0.88,	                     1.93,	                     5.18,	                     7.10,	                  8295.56,	                    13.59
                   432.76,	                     4.69,	                   514.46,	                   481.85,	                  1028.92,	                  1000.00,	                   277.31,	                   656.92,	                    20.00,	                   381.61,	                    20.58,	                  1008.34,	                     0.00,	                     0.59,	                     0.28,	                     0.00,	                     0.87,	                     1.90,	                     5.14,	                     7.04,	                  8328.53,	                    13.65
                   435.57,	                     2.81,	                   513.29,	                   488.50,	                  1026.58,	                  1000.00,	                   277.50,	                   655.67,	                    20.00,	                   380.36,	                    20.53,	                  1006.05,	                     0.00,	                     0.59,	                     0.28,	                     0.00,	                     0.87,	                     1.90,	                     5.14,	                     7.03,	                  8348.29,	                    13.67
                   438.94,	                     3.37,	                   507.88,	                   492.11,	                  1015.76,	                  1000.00,	                   277.44,	                   652.67,	                    20.00,	                   377.37,	                    20.32,	                   995.44,	                     0.00,	                     0.58,	                     0.28,	                     0.00,	                     0.86,	                     1.88,	                     5.11,	                     6.98,	                  8371.84,	                    13.72
                   442.99,	                     4.05,	                   501.83,	                   496.10,	                  1003.65,	                  1000.00,	                   277.37,	                   649.24,	                    20.00,	                   373.93,	                    20.07,	                   983.58,	                     0.00,	                     0.58,	                     0.28,	                     0.00,	                     0.86,	                     1.85,	                     5.07,	                     6.92,	                  8399.87,	                    13.77
                   447.85,	                     4.86,	                   495.05,	                   500.51,	                   990.10,	                  1000.00,	                   277.29,	                   645.29,	                    20.00,	                   369.99,	                    19.80,	                   970.30,	                     0.00,	                     0.57,	                     0.28,	                     0.00,	                     0.85,	                     1.83,	                     5.03,	                     6.86,	                  8433.18,	                    13.83
                   450.76,	                     2.91,	                   494.01,	                   507.07,	                   988.02,	                  1000.00,	                   277.47,	                   644.13,	                    20.00,	                   368.83,	                    19.76,	                   968.26,	                     0.00,	                     0.57,	                     0.28,	                     0.00,	                     0.85,	                     1.82,	                     5.03,	                     6.85,	                  8453.16,	                    13.84
                   454.26,	                     3.50,	                   488.88,	                   510.39,	                   977.76,	                  1000.00,	                   277.41,	                   641.26,	                    20.00,	                   365.96,	                    19.56,	                   958.20,	                     0.00,	                     0.56,	                     0.28,	                     0.00,	                     0.85,	                     1.80,	                     5.00,	                     6.81,	                  8476.96,	                    13.89
                   458.46,	                     4.20,	                   483.14,	                   514.06,	                   966.28,	                  1000.00,	                   277.34,	                   637.97,	                    20.00,	                   362.67,	                    19.33,	                   946.95,	                     0.00,	                     0.56,	                     0.28,	                     0.00,	                     0.84,	                     1.78,	                     4.97,	                     6.75,	                  8505.29,	                    13.94
                   463.49,	                     5.04,	                   476.73,	                   518.11,	                   953.45,	                  1000.00,	                   277.26,	                   634.20,	                    20.00,	                   358.90,	                    19.07,	                   934.38,	                     0.00,	                     0.55,	                     0.28,	                     0.00,	                     0.83,	                     1.76,	                     4.93,	                     6.69,	                  8538.98,	                    14.00
                   466.51,	                     3.02,	                   475.80,	                   524.60,	                   951.60,	                  1000.00,	                   277.45,	                   633.11,	                    20.00,	                   357.80,	                    19.03,	                   932.57,	                     0.00,	                     0.55,	                     0.28,	                     0.00,	                     0.83,	                     1.76,	                     4.93,	                     6.68,	                  8559.18,	                    14.02
                   470.14,	                     3.63,	                   470.92,	                   527.65,	                   941.84,	                  1000.00,	                   277.39,	                   630.35,	                    20.00,	                   355.05,	                    18.84,	                   923.00,	                     0.00,	                     0.55,	                     0.28,	                     0.00,	                     0.83,	                     1.74,	                     4.90,	                     6.64,	                  8583.25,	                    14.07
                   474.49,	                     4.35,	                   465.47,	                   531.04,	                   930.95,	                  1000.00,	                   277.32,	                   627.20,	                    20.00,	                   351.90,	                    18.62,	                   912.33,	                     0.00,	                     0.54,	                     0.28,	                     0.00,	                     0.82,	                     1.72,	                     4.87,	                     6.59,	                  8611.91,	                    14.12
                   479.71,	                     5.22,	                   459.38,	                   534.76,	                   918.76,	                  1000.00,	                   277.24,	                   623.58,	                    20.00,	                   348.28,	                    18.38,	                   900.38,	                     0.00,	                     0.54,	                     0.28,	                     0.00,	                     0.82,	                     1.70,	                     4.83,	                     6.53,	                  8645.99,	                    14.18
                   482.85,	                     3.13,	                   458.56,	                   541.18,	                   917.11,	                  1000.00,	                   277.43,	                   622.56,	                    20.00,	                   347.26,	                    18.34,	                   898.77,	                     0.00,	                     0.53,	                     0.28,	                     0.00,	                     0.82,	                     1.69,	                     4.83,	                     6.52,	                  8666.43,	                    14.20
