Length_m	Pressure_bar
1520.0	146.50194731329083
1530.0	145.50162411270642
1540.0	144.50142354350274
1550.0	143.50134556786395
1560.0	142.5013901479911
1570.0	141.50155724610195
1580.0	140.50184682443117
1590.0	139.5022588452301
1600.0	138.5027932707669
1600.0	188.5027932707669
1610.0	188.45314916485918
1620.0	188.40350472847442
1630.0	188.3538599616088
1640.0	188.30421486425854
1650.0	188.25456943641984
1660.0	188.20492367808893
1670.0	188.155277589262
1680.0	188.10563116993526
1690.0	188.05598442010495
1700.0	188.00633733976724
1710.0	187.9566899289184
1720.0	187.90704218755457
1730.0	187.857394115672
1740.0	187.8077457132669
1750.0	187.7580969803355
1760.0	187.70844791687395
1770.0	187.65879852287853
1780.0	187.6091487983454
1790.0	187.55949874327078
1800.0	187.5098483576509
1810.0	187.46019764148195
1820.0	187.41054659476015
1830.0	187.3608952174817
1840.0	187.31124350964282
1850.0	187.26159147123974
1860.0	187.21193910226864
1870.0	187.16228640272573
1880.0	187.11263337260723
1890.0	187.06298001190936
1900.0	187.0133263206283
1910.0	186.9636722987603
1920.0	186.9140179463015
1930.0	186.86436326324818
1940.0	186.81470824959652
1950.0	186.76505290534274
1960.0	186.71539723048303
1970.0	186.66574122501362
1980.0	186.61608488893071
1990.0	186.5664282222305
2000.0	186.51677122490923
2010.0	186.4671138969631
2020.0	186.4174562383883
2030.0	186.36779824918105
2040.0	186.31813992933755
2050.0	186.268481278854
2060.0	186.21882229772666
2070.0	186.1691629859517
2080.0	186.1195033435253
2090.0	186.06984337044372
2100.0	186.02018306670314
2110.0	185.0146654522856
2120.0	184.00927196989502
2130.0	183.00400258103167
2140.0	181.998857247213
2150.0	180.99383592997373
2160.0	179.9889385908657
2170.0	178.98416519145798
2180.0	177.9795156933368
2190.0	176.97499005810556
2200.0	175.97058824738482
2210.0	174.9663102228123
2220.0	173.96215594604277
2230.0	172.9581253787482
2240.0	171.95421848261768
2250.0	170.95043521935733
2260.0	169.94677555069043
2270.0	168.94323943835732
2280.0	167.9398268441154
2290.0	166.93653772973914
2300.0	165.93337205702008
2310.0	164.93032978776677
2320.0	163.92741088380478
2330.0	162.92461530697676
2340.0	161.92194301914233
2350.0	160.91939398217812
2360.0	159.91696815797775
2370.0	158.9146655084518
2380.0	157.91248599552785
2390.0	156.91042958115042
2400.0	155.90849622728103
2410.0	154.90668589589808
2420.0	153.9049985489969
2430.0	152.90343414858978
2440.0	151.90199265670591
2450.0	150.90067403539138
2460.0	149.89947824670912
2470.0	148.89840525273902
2480.0	147.8974550155778
2490.0	146.89662749733907
2500.0	145.89592266015322
2510.0	144.89534046616754
2520.0	143.89488087754614
2530.0	142.89454385646994
2540.0	141.89432936513668
2550.0	140.8942373657609
2560.0	139.8942678205739
2570.0	138.89442069182383
2580.0	137.89469594177552
2590.0	136.89509353271066
2600.0	135.8956134269276
2610.0	134.8962555867415
2620.0	133.89701997448418
2630.0	132.89790655250425
2640.0	131.898915283167
2650.0	130.90004612885446
2660.0	129.90129905196525
2670.0	128.9026740149148
2680.0	127.90417098013509
2690.0	126.90578991007487
2700.0	125.90753076719948
2710.0	124.9093935139909
2720.0	123.91137811294779
2730.0	122.91348452658536
2740.0	121.91571271743551
2750.0	120.91806264804669
2760.0	119.92053428098396
2770.0	118.92312757882897
2780.0	117.92584250417993
2790.0	116.92867901965161
2800.0	115.93163708787537
2810.0	114.93471667149907
2820.0	113.93791773318713
2830.0	112.9412402356205
2840.0	111.94468414149661
2850.0	110.94824941352942
2860.0	109.9519360144494
2870.0	108.9557439070035
2880.0	107.9596730539551
2890.0	106.9637234180841
2900.0	105.96789496218685
2910.0	104.97218764907612
2920.0	103.97660144158114
2930.0	102.98113630254757
2940.0	101.98579219483747
2950.0	100.99056908132931
2960.0	99.99546692491798
2970.0	99.00048568851474
2980.0	98.00562533504724
2990.0	97.01088582745949
3000.0	96.01626712871186
3010.0	95.02176920178108
3020.0	94.02739200966022
3030.0	93.03313551535867
3040.0	92.03899968190214
3050.0	91.04498447233269
3060.0	90.05108984970862
3070.0	89.05731577710458
3080.0	88.06366221761147
3090.0	87.07012913433647
3100.0	86.07671649040304
